id,name,album,artists,duration_ms,popularity
3E1dpC7FZzlhqufX7mEJWy,zai Ba Đình,"{'id': '1b4tSAVTE884VvOXWFTKAY', 'name': 'anhtunglenpho: the album', 'release_date': '2025-09-16', 'album_type': 'album', 'total_tracks': 10}","[{'id': '6uAa2LaYiWLsy8FlwtKvay', 'name': 'SIXTYUPTOWN', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}]",166632,30
5q5411GrxghqJuBqIZklhJ,Nhớ Ems,"{'id': '51bMHnmO6wJMkSMX5QAlVI', 'name': 'Nhớ Ems', 'release_date': '2022-07-07', 'album_type': 'single', 'total_tracks': 1}","[{'id': '2lnesmkx2eGDj0wTUv61Ch', 'name': 'Rocky CDE', 'genres': ['vietnamese hip hop', 'v-pop', 'vinahouse']}, {'id': '5065aHa5E9M7GUqXpcpCxC', 'name': 'Khan', 'genres': ['vietnamese hip hop', 'v-pop']}]",214400,51
4nXrVH5xwN1w6TpmP7uu8n,Exit Sign,"{'id': '4faMbTZifuYsBllYHZsFKJ', 'name': 'Ai Cũng Phải Bắt Đầu Từ Đâu Đó', 'release_date': '2023-10-16', 'album_type': 'album', 'total_tracks': 13}","[{'id': '5HZtdKfC4xU0wvhEyYDWiY', 'name': 'HIEUTHUHAI', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']}, {'id': '3y6Lfjkrdn5TgkbgDxbpvM', 'name': 'marzuz', 'genres': ['v-pop', 'vietnam indie', 'vietnamese hip hop']}]",201589,70
4nXrVH5xwN1w6TpmP7uu8n,Exit Sign,"{'id': '4faMbTZifuYsBllYHZsFKJ', 'name': 'Ai Cũng Phải Bắt Đầu Từ Đâu Đó', 'release_date': '2023-10-16', 'album_type': 'album', 'total_tracks': 13}","[{'id': '5HZtdKfC4xU0wvhEyYDWiY', 'name': 'HIEUTHUHAI', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']}, {'id': '3y6Lfjkrdn5TgkbgDxbpvM', 'name': 'marzuz', 'genres': ['v-pop', 'vietnam indie', 'vietnamese hip hop']}]",201589,70
5sGAdzerznua6nkFZr4jW6,TUYẾT TRÊN PHỐ (feat. Gill),"{'id': '1PwBifIxwhShLquKtcoYKS', 'name': 'RAP VIỆT 2024, Tập 2', 'release_date': '2024-09-30', 'album_type': 'single', 'total_tracks': 6}","[{'id': '1cPpd989kghzlZqfpP4KwL', 'name': 'RAP VIỆT', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '5Hv9MhUFvGlYurce5BDRUh', 'name': 'Gill', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}]",222800,48
2JSd07bT7GpgmB1NRIvetZ,Lung Linh,"{'id': '2gWh8avogQOrmRGSwUYYfg', 'name': 'Lung Linh', 'release_date': '2021-09-14', 'album_type': 'single', 'total_tracks': 1}","[{'id': '5Q5ZsD33P3z5ZiVmOC5WMx', 'name': 'GUA', 'genres': ['v-pop', 'vietnamese hip hop']}, {'id': '61xZPq6m9D1pmKc68G1YPR', 'name': 'Tranc', 'genres': []}]",203288,30
5httOobFeAbwl4HTG7pwmw,Zai Phố,"{'id': '0FG4TzUg4rEqrtKt1MoWu8', 'name': 'Zai Phố', 'release_date': '2023-03-06', 'album_type': 'single', 'total_tracks': 1}","[{'id': '5Hv9MhUFvGlYurce5BDRUh', 'name': 'Gill', 'genres': ['vietnamese hip hop', 'v-pop', 'vietnam indie']}]",156716,43
3CjeDMzL35p8ioIBZwPlii,Last Night 2,"{'id': '7elvdySQbQhXsQmrXhXP71', 'name': 'SHOW ME THE HAZEL', 'release_date': '2024-11-27', 'album_type': 'album', 'total_tracks': 14}","[{'id': '4ZFRJP4p2Ul4kGnKrEn5W2', 'name': 'Hazel', 'genres': ['vietnamese hip hop', 'drill', 'vietnam indie', 'v-pop']}, {'id': '0TkVD1db28vwnS8e3QpEeX', 'name': 'NxT', 'genres': ['vietnamese hip hop', 'v-pop', 'drill']}]",193333,48
4FjbOqihenGFiJGX6NoXXq,Trap Boy,"{'id': '2pX6WzKzFvpjlLxVf10skl', 'name': 'Nội Dung Nhạy Cảm - Part 2', 'release_date': '2024-08-16', 'album_type': 'single', 'total_tracks': 6}","[{'id': '0hUr8xEtATxbq2OTiJFAP0', 'name': '24k.Right', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '39UJlviUwzZGZrA8DiQy31', 'name': 'Mason Nguyen', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '3g8l4a4JtYNpYKqSMZMnK0', 'name': 'Hipz', 'genres': ['vietnamese hip hop', 'v-pop']}]",200680,42
6D94p9ASguBcYlDC0o56vx,NOLOVENOLIFE,"{'id': '4faMbTZifuYsBllYHZsFKJ', 'name': 'Ai Cũng Phải Bắt Đầu Từ Đâu Đó', 'release_date': '2023-10-16', 'album_type': 'album', 'total_tracks': 13}","[{'id': '5HZtdKfC4xU0wvhEyYDWiY', 'name': 'HIEUTHUHAI', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']}]",170898,62
6vJYhhBZQm6t2uxq8Vu9Pg,OK NAH NAH,"{'id': '3Rd8SJi9SLc2fAK37foqya', 'name': 'OK NAH NAH', 'release_date': '2020-09-20', 'album_type': 'single', 'total_tracks': 1}","[{'id': '4MHq627pFLlhqrdQTamHtm', 'name': '$ativa', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '1DxMYqEhE2kFdVI9mrxUJf', 'name': 'Buford', 'genres': []}]",226645,24
4B5AhXrWLNccS4bIqobbvF,Phòng Số 12,"{'id': '4XTQ4Gtb7ufWkayCds9iRh', 'name': 'Never Love Again', 'release_date': '2024-07-31', 'album_type': 'album', 'total_tracks': 8}","[{'id': '3oD2yI1g6aT3KawHD8ZYaU', 'name': 'TeuYungBoy', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '5xY6E5PMZNtz9jDvxTRiGI', 'name': 'Dangrangto', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '3rSAej8VUifF02zpsGjsRZ', 'name': 'DONAL', 'genres': ['vietnamese hip hop', 'v-pop']}]",213392,44
3EtWx3OhyDQlYKGOgBaKzR,No Boundary,"{'id': '6VFDx1JH29et19PR1hIPVQ', 'name': 'No Boundary', 'release_date': '2023-10-03', 'album_type': 'single', 'total_tracks': 2}","[{'id': '0FvZX3MHDrlAAnf15FgBkA', 'name': 'Richie D. ICY', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '0ZbgKh0FgPYeFP38nVaEGp', 'name': 'Obito', 'genres': ['v-pop', 'vietnamese hip hop', 'vietnam indie']}]",153500,45
7n19GYQHOjiqSzzRsuT1yW,Xin Đừng Làm Anh Đau,"{'id': '231cebYofRSEq4LulMyB4x', 'name': 'Xin Đừng Làm Anh Đau', 'release_date': '2025-03-14', 'album_type': 'single', 'total_tracks': 1}","[{'id': '620SGhgUsNYFnVULyiGCeL', 'name': 'RPT TC', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '25JRC8aMGIGBIJ5KiINv3l', 'name': 'RPT Orijinn', 'genres': ['vietnamese hip hop', 'v-pop']}, {'id': '5GMm4G65nNaLgMddJ6Zsor', 'name': 'phemak', 'genres': ['vietnamese hip hop', 'v-pop']}]",218335,24
